,CD137pos_CD154neg_memory_TH | Count,CD137pos_CD154neg_memory_TFH | Count,CD137pos_CD154neg_naive_TH | Count,CD137pos_CD154neg_naive_TFH | Count,CD137pos_CD154neg_CD127neg_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127neg_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD45RAneg_Treg | Count,CD137pos_CD154neg_CD45RAneg_TFR | Count,CD137pos_CD154neg_CD45RApos_Treg | Count,CD137pos_CD154neg_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,58.0,6.00,54.0,7.00,11.0,47.0,15.0,39.0,194,3.00,38.0,6.00,
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,80.0,6.00,44.0,6.00,19.0,61.0,6.00,38.0,435,10.0,36.0,2.00,
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,90.0,6.00,37.0,2.00,12.0,78.0,4.00,33.0,454,4.00,75.0,5.00,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,11.0,0,7.00,1.00,2.00,9.00,3.00,4.00,102,2.00,11.0,2.00,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,12.0,0,66.0,11.0,1.00,11.0,31.0,35.0,83.0,5.00,35.0,2.00,
H02_NC_Time_Point_180_CD4 T cells.fcs,50.0,5.00,31.0,0,17.0,33.0,10.0,21.0,257,10.0,22.0,2.00,
H03_NC_Time_Point_180_CD4 T cells.fcs,30.0,6.00,17.0,2.00,15.0,15.0,2.00,15.0,343,5.00,15.0,10.0,
H04_NC_Time_Point_180_CD4 T cells.fcs,23.0,3.00,86.0,3.00,10.0,13.0,64.0,22.0,38.0,0,4.00,1.00,
H06_NC_Time_Point_180_CD4 T cells.fcs,87.0,4.00,17.0,1.00,16.0,71.0,3.00,14.0,176,1.00,1.00,0,
H07_NC_Time_Point_180_CD4 T cells.fcs,27.0,5.00,9.00,1.00,5.00,22.0,2.00,7.00,42.0,3.00,4.00,0,
H08_NC_Time_Point_180_CD4 T cells.fcs,7.00,0,4.00,0,2.00,5.00,1.00,3.00,46.0,0,3.00,1.00,
H10_NC_Time_Point_180_CD4 T cells.fcs,15.0,4.00,25.0,1.00,2.00,13.0,9.00,16.0,93.0,1.00,11.0,0,
H11_NC_Time_Point_180_CD4 T cells.fcs,44.0,3.00,52.0,3.00,19.0,25.0,21.0,31.0,156,1.00,17.0,1.00,
H13_NC_Time_Point_180_CD4 T cells.fcs,4.00,1.00,18.0,0,0,4.00,2.00,16.0,23.0,1.00,5.00,1.00,
H14_NC_Time_Point_180_CD4 T cells.fcs,7.00,0,44.0,4.00,2.00,5.00,13.0,31.0,56.0,0,7.00,1.00,
H17_NC_Time_Point_180_CD4 T cells.fcs,25.0,9.00,15.0,3.00,2.00,23.0,1.00,14.0,65.0,5.00,5.00,2.00,
H18_NC_Time_Point_180_CD4 T cells.fcs,1.00,0,0,0,0,1.00,0,0,4.00,0,0,0,
H19_NC_Time_Point_180_CD4 T cells.fcs,44.0,8.00,14.0,1.00,11.0,33.0,6.00,8.00,131,1.00,6.00,0,
H20_NC_Time_Point_180_CD4 T cells.fcs,11.0,3.00,7.00,2.00,1.00,10.0,2.00,5.00,76.0,1.00,3.00,0,
H21_NC_Time_Point_180_CD4 T cells.fcs,311,14.0,46.0,4.00,55.0,256,9.00,37.0,303,1.00,10.0,0,
H22_NC_Time_Point_180_CD4 T cells.fcs,10.0,1.00,4.00,1.00,4.00,6.00,2.00,2.00,19.0,0,6.00,0,
H23_NC_Time_Point_180_CD4 T cells.fcs,44.0,12.0,9.00,0,11.0,33.0,3.00,6.00,139,2.00,6.00,1.00,
H24_NC_Time_Point_180_CD4 T cells.fcs,25.0,2.00,8.00,4.00,7.00,18.0,0,8.00,43.0,0,1.00,0,
H25_NC_Time_Point_180_CD4 T cells.fcs,16.0,0,18.0,0,5.00,11.0,4.00,14.0,36.0,1.00,9.00,1.00,
H26_NC_Time_Point_180_CD4 T cells.fcs,32.0,9.00,26.0,0,6.00,26.0,11.0,15.0,259,6.00,12.0,5.00,
H28_NC_Time_Point_180_CD4 T cells.fcs,21.0,6.00,28.0,2.00,5.00,16.0,4.00,24.0,55.0,2.00,3.00,0,
H29_NC_Time_Point_180_CD4 T cells.fcs,36.0,6.00,32.0,5.00,17.0,19.0,12.0,20.0,216,1.00,18.0,0,
H30_NC_Time_Point_180_CD4 T cells.fcs,86.0,8.00,27.0,3.00,30.0,56.0,4.00,23.0,319,8.00,4.00,2.00,
H31_NC_Time_Point_180_CD4 T cells.fcs,27.0,5.00,33.0,7.00,5.00,22.0,4.00,29.0,67.0,2.00,7.00,0,
H32_NC_Time_Point_180_CD4 T cells.fcs,26.0,5.00,5.00,1.00,5.00,21.0,0,5.00,103,4.00,3.00,0,
H33_NC_Time_Point_180_CD4 T cells.fcs,50.0,17.0,99.0,4.00,14.0,36.0,47.0,52.0,353,28.0,13.0,2.00,
H34_NC_Time_Point_180_CD4 T cells.fcs,41.0,2.00,29.0,1.00,17.0,24.0,9.00,20.0,99.0,1.00,22.0,0,
H35_NC_Time_Point_180_CD4 T cells.fcs,20.0,0,8.00,1.00,10.0,10.0,2.00,6.00,86.0,4.00,0,0,
H36_NC_Time_Point_180_CD4 T cells.fcs,6.00,0,8.00,0,1.00,5.00,2.00,6.00,30.0,0,1.00,0,
H38_NC_Time_Point_180_CD4 T cells.fcs,15.0,2.00,9.00,0,5.00,10.0,2.00,7.00,23.0,0,1.00,1.00,
H39_NC_Time_Point_180_CD4 T cells.fcs,16.0,2.00,29.0,4.00,3.00,13.0,9.00,20.0,63.0,2.00,2.00,0,
H40_NC_Time_Point_180_CD4 T cells.fcs,8.00,0,12.0,1.00,2.00,6.00,3.00,9.00,43.0,0,5.00,1.00,
H41_NC_Time_Point_180_CD4 T cells.fcs,17.0,0,15.0,0,2.00,15.0,3.00,12.0,69.0,1.00,5.00,0,
H42_NC_Time_Point_180_CD4 T cells.fcs,9.00,0,15.0,2.00,3.00,6.00,4.00,11.0,34.0,2.00,7.00,1.00,
H02_PC_Time_Point_180_CD4 T cells.fcs,90.0,13.0,25.0,3.00,81.0,9.00,21.0,4.00,537,23.0,66.0,12.0,
H30_PC_Time_Point_180_CD4 T cells.fcs,143,10.0,2.00,0,130,13.0,1.00,1.00,880,25.0,6.00,1.00,
H34_PC_Time_Point_180_CD4 T cells.fcs,79.0,4.00,104,10.0,73.0,6.00,86.0,18.0,422,13.0,196,23.0,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,19.0,6.00,9.00,1.00,5.00,14.0,2.00,7.00,161,7.00,19.0,2.00,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,29.0,3.00,6.00,4.00,12.0,17.0,2.00,4.00,192,2.00,6.00,2.00,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,17.0,2.00,88.0,2.00,10.0,7.00,64.0,24.0,27.0,0,3.00,0,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,38.0,5.00,24.0,5.00,8.00,30.0,5.00,19.0,123,4.00,12.0,2.00,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,73.0,15.0,32.0,4.00,7.00,66.0,3.00,29.0,94.0,8.00,13.0,6.00,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,11.0,0,37.0,3.00,9.00,2.00,6.00,31.0,144,1.00,12.0,2.00,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,33.0,4.00,64.0,9.00,9.00,24.0,17.0,47.0,222,8.00,24.0,2.00,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,53.0,10.0,55.0,4.00,18.0,35.0,17.0,38.0,287,8.00,18.0,2.00,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,81.0,9.00,136,26.0,26.0,55.0,22.0,114,608,12.0,88.0,11.0,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,11.0,0,81.0,4.00,4.00,7.00,20.0,61.0,101,1.00,15.0,0,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,60.0,3.00,52.0,0,9.00,51.0,15.0,37.0,180,5.00,19.0,3.00,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,40.0,2.00,18.0,0,15.0,25.0,6.00,12.0,49.0,3.00,5.00,0,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,33.0,5.00,19.0,6.00,8.00,25.0,5.00,14.0,166,3.00,8.00,2.00,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,42.0,4.00,341,55.0,18.0,24.0,95.0,246,293,7.00,31.0,5.00,
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,127,9.00,29.0,1.00,29.0,98.0,1.00,28.0,137,0,6.00,1.00,
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,3.00,0,1.00,0,1.00,2.00,0,1.00,24.0,0,1.00,0,
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,10.0,2.00,2.00,0,1.00,9.00,0,2.00,114,6.00,6.00,0,
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,40.0,3.00,88.0,14.0,10.0,30.0,16.0,72.0,86.0,1.00,11.0,1.00,
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,42.0,6.00,42.0,4.00,15.0,27.0,10.0,32.0,57.0,1.00,33.0,5.00,
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,17.0,1.00,16.0,0,2.00,15.0,7.00,9.00,118,1.00,5.00,1.00,
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,45.0,8.00,24.0,3.00,15.0,30.0,2.00,22.0,228,3.00,13.0,3.00,
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,43.0,3.00,16.0,2.00,19.0,24.0,5.00,11.0,219,2.00,15.0,5.00,
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,22.0,0,18.0,2.00,6.00,16.0,2.00,16.0,88.0,2.00,3.00,2.00,
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,46.0,0,54.0,8.00,7.00,39.0,14.0,40.0,183,4.00,21.0,4.00,
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,57.0,18.0,21.0,1.00,17.0,40.0,4.00,17.0,343,19.0,8.00,4.00,
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,10.0,8.00,30.0,5.00,1.00,9.00,16.0,14.0,147,22.0,11.0,2.00,
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,41.0,3.00,49.0,4.00,24.0,17.0,10.0,39.0,290,3.00,89.0,5.00,
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,73.0,3.00,28.0,4.00,45.0,28.0,9.00,19.0,673,14.0,32.0,5.00,
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,36.0,0,47.0,6.00,13.0,23.0,14.0,33.0,201,3.00,19.0,1.00,
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,62.0,9.00,50.0,10.0,10.0,52.0,6.00,44.0,124,5.00,11.0,2.00,
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,94.0,2.00,80.0,11.0,33.0,61.0,20.0,60.0,432,10.0,21.0,3.00,
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,68.0,8.00,53.0,8.00,16.0,52.0,2.00,51.0,406,2.00,42.0,7.00,
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,17.0,1.00,45.0,4.00,5.00,12.0,5.00,40.0,110,2.00,19.0,0,
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,13.0,4.00,34.0,4.00,3.00,10.0,6.00,28.0,56.0,4.00,14.0,3.00,
H02_NC_Time_Point_365_CD4 T cells.fcs,35.0,16.0,26.0,0,7.00,28.0,5.00,21.0,258,10.0,21.0,2.00,
H03_NC_Time_Point_365_CD4 T cells.fcs,31.0,1.00,7.00,2.00,7.00,24.0,3.00,4.00,164,4.00,11.0,3.00,
H04_NC_Time_Point_365_CD4 T cells.fcs,31.0,7.00,12.0,2.00,7.00,24.0,8.00,4.00,161,3.00,2.00,1.00,
H06_NC_Time_Point_365_CD4 T cells.fcs,202,19.0,29.0,3.00,35.0,167,3.00,26.0,515,10.0,14.0,2.00,
H07_NC_Time_Point_365_CD4 T cells.fcs,46.0,8.00,16.0,2.00,10.0,36.0,3.00,13.0,73.0,5.00,5.00,1.00,
H08_NC_Time_Point_365_CD4 T cells.fcs,3.00,0,4.00,0,1.00,2.00,1.00,3.00,25.0,0,2.00,0,
H10_NC_Time_Point_365_CD4 T cells.fcs,22.0,2.00,21.0,2.00,5.00,17.0,8.00,13.0,115,3.00,7.00,3.00,
H11_NC_Time_Point_365_CD4 T cells.fcs,46.0,8.00,47.0,3.00,17.0,29.0,15.0,32.0,175,4.00,8.00,2.00,
H13_NC_Time_Point_365_CD4 T cells.fcs,4.00,3.00,12.0,2.00,0,4.00,0,12.0,26.0,0,7.00,1.00,
H14_NC_Time_Point_365_R_CD4 T cells.fcs,1.00,0,0,1.00,0,1.00,0,0,0,0,0,0,
H17_NC_Time_Point_365_CD4 T cells.fcs,58.0,4.00,72.0,6.00,7.00,51.0,15.0,57.0,103,4.00,17.0,3.00,
H18_NC_Time_Point_365_CD4 T cells.fcs,3.00,0,0,0,1.00,2.00,0,0,5.00,0,0,0,
H19_NC_Time_Point_365_CD4 T cells.fcs,64.0,1.00,5.00,1.00,11.0,53.0,2.00,3.00,176,3.00,5.00,0,
H20_NC_Time_Point_365_CD4 T cells.fcs,13.0,0,14.0,4.00,3.00,10.0,4.00,10.0,77.0,1.00,7.00,0,
H21_NC_Time_Point_365_CD4 T cells.fcs,200,10.0,46.0,3.00,29.0,171,8.00,38.0,156,1.00,6.00,0,
H22_NC_Time_Point_365_CD4 T cells.fcs,15.0,2.00,15.0,1.00,3.00,12.0,2.00,13.0,107,0,8.00,0,
H23_NC_Time_Point_365_CD4 T cells.fcs,55.0,3.00,11.0,1.00,14.0,41.0,1.00,10.0,144,0,3.00,1.00,
H24_NC_Time_Point_365_CD4 T cells.fcs,36.0,2.00,39.0,6.00,7.00,29.0,12.0,27.0,76.0,2.00,3.00,1.00,
H25_NC_Time_Point_365_CD4 T cells.fcs,21.0,1.00,9.00,2.00,5.00,16.0,2.00,7.00,28.0,2.00,7.00,1.00,
H26_NC_Time_Point_365_CD4 T cells.fcs,60.0,13.0,22.0,5.00,13.0,47.0,5.00,17.0,566,13.0,18.0,5.00,
H28_NC_Time_Point_365_CD4 T cells.fcs,44.0,4.00,31.0,5.00,11.0,33.0,2.00,29.0,168,10.0,11.0,0,
H29_NC_Time_Point_365_CD4 T cells.fcs,24.0,4.00,18.0,2.00,11.0,13.0,7.00,11.0,152,4.00,10.0,2.00,
H30_NC_Time_Point_365_CD4 T cells.fcs,73.0,7.00,89.0,9.00,24.0,49.0,15.0,74.0,277,6.00,38.0,6.00,
H31_NC_Time_Point_365_CD4 T cells.fcs,17.0,3.00,48.0,8.00,2.00,15.0,11.0,37.0,89.0,1.00,29.0,3.00,
H32_NC_Time_Point_365_CD4 T cells.fcs,69.0,19.0,11.0,1.00,15.0,54.0,3.00,8.00,243,19.0,2.00,3.00,
H33_NC_Time_Point_365_CD4 T cells.fcs,34.0,9.00,110,10.0,9.00,25.0,34.0,76.0,289,22.0,22.0,5.00,
H34_NC_Time_Point_365_CD4 T cells.fcs,53.0,2.00,40.0,7.00,19.0,34.0,10.0,30.0,126,1.00,18.0,0,
H35_NC_Time_Point_365_CD4 T cells.fcs,17.0,1.00,86.0,6.00,8.00,9.00,20.0,66.0,178,4.00,22.0,3.00,
H36_NC_Time_Point_365_CD4 T cells.fcs,7.00,1.00,39.0,3.00,2.00,5.00,10.0,29.0,78.0,0,6.00,0,
H38_NC_Time_Point_365_CD4 T cells.fcs,25.0,5.00,10.0,0,3.00,22.0,2.00,8.00,48.0,2.00,4.00,1.00,
H39_NC_Time_Point_365_CD4 T cells.fcs,24.0,1.00,23.0,4.00,9.00,15.0,7.00,16.0,174,5.00,12.0,0,
H40_NC_Time_Point_365_CD4 T cells.fcs,25.0,1.00,16.0,3.00,2.00,23.0,4.00,12.0,128,4.00,15.0,5.00,
H41_NC_Time_Point_365_CD4 T cells.fcs,17.0,0,21.0,1.00,1.00,16.0,3.00,18.0,159,2.00,16.0,0,
H42_NC_Time_Point_365_CD4 T cells.fcs,8.00,2.00,10.0,3.00,2.00,6.00,4.00,6.00,33.0,1.00,1.00,2.00,
H04_PC_Time_Point_365_CD4 T cells.fcs,23.0,3.00,1.00,0,21.0,2.00,0,1.00,218,1.00,3.00,1.00,
H07_PC_Time_Point_365_CD4 T cells.fcs,6.00,0,1.00,0,5.00,1.00,1.00,0,60.0,0,0,0,
H28_PC_Time_Point_365_CD4 T cells.fcs,73.0,15.0,19.0,3.00,45.0,28.0,14.0,5.00,514,27.0,28.0,14.0,
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,17.0,11.0,13.0,1.00,2.00,15.0,1.00,12.0,207,17.0,19.0,2.00,
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,4.00,2.00,5.00,0,2.00,2.00,1.00,4.00,121,1.00,3.00,2.00,
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,27.0,5.00,15.0,4.00,7.00,20.0,5.00,10.0,183,10.0,4.00,3.00,
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,13.0,2.00,11.0,1.00,2.00,11.0,3.00,8.00,63.0,5.00,2.00,2.00,
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,72.0,15.0,26.0,3.00,11.0,61.0,3.00,23.0,170,11.0,5.00,0,
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,52.0,8.00,65.0,5.00,22.0,30.0,10.0,55.0,287,9.00,26.0,3.00,
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,21.0,3.00,37.0,3.00,5.00,16.0,9.00,28.0,244,1.00,17.0,2.00,
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,46.0,5.00,43.0,3.00,13.0,33.0,18.0,25.0,258,9.00,7.00,4.00,
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,84.0,9.00,136,31.0,26.0,58.0,20.0,116,383,12.0,60.0,7.00,
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,8.00,0,2.00,0,5.00,3.00,1.00,1.00,21.0,0,0,0,
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,37.0,3.00,82.0,7.00,6.00,31.0,22.0,60.0,198,2.00,27.0,3.00,
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,8.00,2.00,4.00,0,4.00,4.00,2.00,2.00,26.0,0,4.00,0,
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,30.0,5.00,1.00,2.00,5.00,25.0,0,1.00,148,7.00,4.00,1.00,
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,31.0,5.00,32.0,6.00,15.0,16.0,9.00,23.0,192,3.00,7.00,5.00,
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,88.0,2.00,44.0,5.00,20.0,68.0,3.00,41.0,99.0,2.00,15.0,0,
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,20.0,1.00,27.0,1.00,7.00,13.0,2.00,25.0,187,1.00,22.0,2.00,
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,72.0,16.0,14.0,3.00,33.0,39.0,4.00,10.0,403,11.0,15.0,9.00,
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,31.0,2.00,130,26.0,4.00,27.0,23.0,107,98.0,2.00,29.0,6.00,
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,49.0,3.00,84.0,4.00,11.0,38.0,12.0,72.0,53.0,3.00,39.0,7.00,
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,6.00,0,0,0,0,6.00,0,0,92.0,3.00,4.00,1.00,
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,13.0,6.00,15.0,1.00,2.00,11.0,0,15.0,200,15.0,9.00,2.00,
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,29.0,8.00,19.0,5.00,12.0,17.0,2.00,17.0,183,5.00,14.0,6.00,
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,12.0,3.00,25.0,3.00,4.00,8.00,2.00,23.0,71.0,6.00,8.00,1.00,
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,59.0,8.00,56.0,9.00,12.0,47.0,17.0,39.0,289,6.00,52.0,10.0,
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,46.0,22.0,5.00,4.00,10.0,36.0,2.00,3.00,351,46.0,10.0,11.0,
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,10.0,0,23.0,3.00,2.00,8.00,4.00,19.0,115,9.00,19.0,1.00,
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,25.0,0,56.0,6.00,4.00,21.0,16.0,40.0,221,0,65.0,13.0,
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,49.0,5.00,14.0,3.00,33.0,16.0,4.00,10.0,687,25.0,31.0,12.0,
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,23.0,2.00,88.0,4.00,8.00,15.0,25.0,63.0,192,3.00,17.0,0,
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,54.0,6.00,35.0,4.00,3.00,51.0,6.00,29.0,141,10.0,7.00,3.00,
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,32.0,1.00,85.0,11.0,12.0,20.0,17.0,68.0,473,8.00,60.0,8.00,
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,60.0,12.0,48.0,7.00,9.00,51.0,9.00,39.0,465,23.0,106,18.0,
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,15.0,1.00,19.0,0,0,15.0,2.00,17.0,179,0,18.0,5.00,
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,18.0,3.00,24.0,2.00,6.00,12.0,7.00,17.0,36.0,1.00,6.00,5.00,
Mean,,,,,,,,,,,,,
SD,,,,,,,,,,,,,
