,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,5.82E5,281349,300940,40546,5.42E5,162516,49366,366016,271,37.0,468,5.28E5,268116,260383,29887,19479,
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,5.17E5,353712,163304,28927,4.88E5,181793,25827,306026,342,59.0,622,4.88E5,149113,338675,12259,13568,
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,5.26E5,299091,226593,27631,4.98E5,116430,19432,387294,254,22.0,316,5.04E5,214680,289027,10626,8806,
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,4.59E5,380246,78371,8413,4.50E5,199102,13931,243689,359,33.0,321,4.42E5,71488,370088,5578,8353,
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,7.35E5,4.98E5,237392,52598,6.82E5,133799,45942,5.51E5,567,105,624,6.85E5,213623,4.71E5,21241,24701,
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,4.65E5,241780,223394,49870,4.15E5,93447,17638,349973,371,32.0,412,4.43E5,210264,233123,10615,7023,
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,364136,267938,96198,19108,345028,116138,23279,222751,221,11.0,275,338877,86254,252623,8737,14542,
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,5.23E5,255611,267226,44502,4.78E5,114267,31012,364150,352,9.00,315,4.78E5,239284,239133,21905,9107,
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,288557,162125,126432,27941,260616,55040,11263,218986,423,123,630,274026,116550,157476,7700,3563,
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,286477,124043,162434,35064,251413,83223,22671,175910,232,29.0,270,259132,143270,115862,16173,6498,
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,4.04E5,199992,204425,27377,377040,35645,4779,355170,299,34.0,292,390815,193975,196840,3501,1278,
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,4.29E5,250499,178313,27166,4.02E5,94847,19755,311771,357,177,613,4.07E5,166122,240495,10813,8942,
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,4.53E5,81291,371820,81899,371212,79177,22287,348669,519,109,553,4.28E5,352055,75791,17416,4871,
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,5.28E5,277812,249970,63062,4.65E5,115012,30285,378545,404,57.0,373,4.94E5,227619,265937,19710,10575,
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,4.18E5,306413,111767,25447,392733,109127,24328,278751,391,41.0,698,387878,97765,290113,11500,12828,
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,7.44E5,4.79E5,265026,54315,6.89E5,238302,41320,4.59E5,732,309,2044,6.97E5,234382,4.63E5,27548,13772,
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,352265,270747,81518,17223,335042,104885,20708,223551,219,17.0,379,328436,72266,256170,7942,12766,
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,346963,223200,123763,33255,313708,124470,11872,208996,256,28.0,400,333466,117195,216271,5720,6152,
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,5.35E5,382031,153432,22704,5.13E5,133246,25507,373860,368,94.0,740,5.07E5,136730,370376,15335,10172,
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,394189,261321,132868,17743,376446,82658,21152,287257,631,255,838,369915,120336,249579,10246,10906,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,255051,185826,69225,8051,247000,87875,16296,149219,112,8.00,155,237094,59890,177204,8486,7810,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,295165,153624,141541,27416,267749,104055,16227,173256,150,23.0,253,277311,131202,146109,9346,6881,
H02_NC_Time_Point_180_CD4 T cells.fcs,5.44E5,335556,208491,52306,4.92E5,199893,34030,310097,244,42.0,235,5.06E5,190449,316014,15696,18334,
H03_NC_Time_Point_180_CD4 T cells.fcs,4.32E5,203501,228561,44152,387910,141230,31652,256125,209,6.00,204,397354,203318,194036,23009,8643,
H04_NC_Time_Point_180_CD4 T cells.fcs,128362,48003,80359,12073,116289,39591,7197,81015,70.0,1.00,61.0,120605,74692,45913,5324,1873,
H06_NC_Time_Point_180_CD4 T cells.fcs,334779,154716,180063,30666,304113,78211,15462,239702,152,18.0,139,317912,168269,149643,10855,4610,
H07_NC_Time_Point_180_CD4 T cells.fcs,5.28E5,236735,291113,55183,4.73E5,136236,24438,365282,239,34.0,250,5.02E5,274612,226905,15208,9231,
H08_NC_Time_Point_180_CD4 T cells.fcs,4.63E5,285607,177243,20362,4.42E5,92689,29700,337334,205,24.0,203,4.30E5,156378,273645,18608,11092,
H10_NC_Time_Point_180_CD4 T cells.fcs,5.47E5,4.22E5,124761,23889,5.23E5,148608,24957,371977,260,16.0,252,5.21E5,111358,4.09E5,12618,12339,
H11_NC_Time_Point_180_CD4 T cells.fcs,388447,223608,164839,22860,365587,98233,23441,265471,185,10.0,194,363704,150474,213230,13572,9869,
H13_NC_Time_Point_180_CD4 T cells.fcs,6.12E5,394061,218438,56854,5.56E5,121195,41758,4.46E5,286,19.0,274,5.67E5,193679,373456,22618,19140,
H14_NC_Time_Point_180_CD4 T cells.fcs,374598,303187,71411,13073,361525,123286,18072,231141,178,13.0,180,354426,60481,293945,9943,8129,
H17_NC_Time_Point_180_CD4 T cells.fcs,4.27E5,262434,164977,31589,395822,77188,27054,317433,208,9.00,211,394622,148094,246528,13520,13536,
H18_NC_Time_Point_180_CD4 T cells.fcs,55587,39281,16306,2279,53308,29989,1528,23782,29.0,1.00,25.0,53769,15105,38664,1015,513,
H19_NC_Time_Point_180_CD4 T cells.fcs,330348,175239,155109,28086,302262,122996,22762,182389,162,3.00,160,305368,138969,166399,14635,8126,
H20_NC_Time_Point_180_CD4 T cells.fcs,5.71E5,364008,207250,59671,5.12E5,181851,29606,356329,286,6.00,278,5.38E5,188874,349274,16200,13406,
H21_NC_Time_Point_180_CD4 T cells.fcs,5.82E5,376972,205135,34093,5.48E5,156046,25496,398121,290,3.00,290,5.54E5,189072,365078,14632,10864,
H22_NC_Time_Point_180_CD4 T cells.fcs,137775,119382,18393,2778,134997,71310,2982,63260,61.0,5.00,62.0,134249,16856,117393,1293,1689,
H23_NC_Time_Point_180_CD4 T cells.fcs,299849,200314,99535,20990,278859,62348,18311,217565,138,5.00,130,279899,89582,190317,8945,9366,
H24_NC_Time_Point_180_CD4 T cells.fcs,309571,163211,146360,33357,276214,82208,13531,211791,147,6.00,147,293978,136566,157412,8560,4971,
H25_NC_Time_Point_180_CD4 T cells.fcs,370227,245094,125133,24266,345961,134096,30113,204267,175,7.00,163,338339,109703,228636,14139,15974,
H26_NC_Time_Point_180_CD4 T cells.fcs,4.35E5,232185,202723,29256,4.06E5,132957,26401,264024,211,14.0,198,396979,179200,217779,18749,7652,
H28_NC_Time_Point_180_CD4 T cells.fcs,294312,173932,120380,27497,266815,74070,13846,203256,142,2.00,147,277326,109611,167715,8768,5078,
H29_NC_Time_Point_180_CD4 T cells.fcs,320177,149425,170752,33506,286671,110394,22469,183926,161,6.00,154,294319,151836,142483,16723,5748,
H30_NC_Time_Point_180_CD4 T cells.fcs,388277,179860,208417,32050,356227,72873,17300,296217,184,6.00,184,369090,193053,176037,14075,3224,
H31_NC_Time_Point_180_CD4 T cells.fcs,5.17E5,327324,190141,30738,4.87E5,156063,25698,333833,246,20.0,255,4.90E5,177184,315494,13452,12246,
H32_NC_Time_Point_180_CD4 T cells.fcs,387515,65789,321726,70386,317129,63670,14477,307300,173,18.0,180,370970,308009,62961,12022,2455,
H33_NC_Time_Point_180_CD4 T cells.fcs,6.93E5,329748,363109,86957,6.06E5,165148,48004,4.75E5,330,22.0,327,6.40E5,325972,314503,33987,14017,
H34_NC_Time_Point_180_CD4 T cells.fcs,4.01E5,323134,78039,20546,380627,138385,19293,239873,183,17.0,171,378258,67926,310332,8666,10629,
H35_NC_Time_Point_180_CD4 T cells.fcs,5.68E5,381456,186475,41535,5.26E5,238970,32145,293061,259,14.0,280,5.32E5,162309,369723,21781,10363,
H36_NC_Time_Point_180_CD4 T cells.fcs,392116,305725,86391,17418,374698,144296,22333,222798,183,8.00,175,367094,75812,291282,9187,13146,
H38_NC_Time_Point_180_CD4 T cells.fcs,251136,146753,104383,25093,226043,72416,6119,171589,110,14.0,110,244005,99914,144091,3816,2303,
H39_NC_Time_Point_180_CD4 T cells.fcs,4.39E5,296404,142138,20328,4.18E5,147118,18767,270604,218,9.00,223,4.18E5,128926,288796,12189,6578,
H40_NC_Time_Point_180_CD4 T cells.fcs,4.40E5,260903,178721,35163,4.04E5,82073,18080,336629,193,19.0,198,4.19E5,167435,251268,9300,8780,
H41_NC_Time_Point_180_CD4 T cells.fcs,4.18E5,297501,120578,21791,396288,145715,25737,243764,196,16.0,193,389478,106007,283471,12829,12908,
H42_NC_Time_Point_180_CD4 T cells.fcs,4.11E5,195824,215069,51825,359068,86871,18621,302572,176,29.0,176,389443,201318,188125,11781,6840,
H02_PC_Time_Point_180_CD4 T cells.fcs,358395,225458,132937,46528,311867,191631,57280,101613,248707,138,805,292199,100399,191800,27573,29707,
H30_PC_Time_Point_180_CD4 T cells.fcs,193125,92717,100408,18785,174340,64169,15433,111153,163898,646,1140,175322,87585,87737,11116,4317,
H34_PC_Time_Point_180_CD4 T cells.fcs,119657,102262,17395,4736,114921,77540,6784,34557,98801,826,878,112097,14286,97811,2863,3921,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,5.88E5,368267,219417,50851,5.37E5,209444,35382,342496,369,69.0,280,5.48E5,200824,347659,16202,19180,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,5.08E5,236743,271129,48999,4.59E5,161481,36956,306434,224,7.00,286,4.68E5,241865,226050,27064,9892,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,131136,47605,83531,12599,118537,40123,7233,83164,74.0,1.00,142,123287,77772,45515,5367,1866,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,334316,154220,180096,30966,303350,76096,16141,240140,172,20.0,249,316235,167808,148427,10994,5147,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,4.51E5,201654,249324,43379,4.08E5,116582,19699,313049,182,26.0,288,4.30E5,236155,193476,12124,7575,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,4.88E5,301157,187084,22762,4.65E5,89542,30679,363930,284,19.0,276,4.53E5,164859,288612,19264,11415,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,5.65E5,4.33E5,132216,25335,5.40E5,142324,25713,395534,352,32.0,413,5.38E5,118480,4.19E5,12924,12789,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,5.90E5,335937,254224,36166,5.54E5,133388,35653,4.19E5,268,14.0,516,5.52E5,232447,319811,20490,15163,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,6.87E5,4.35E5,251724,63617,6.23E5,119187,43427,5.19E5,530,45.0,1194,6.38E5,224715,4.13E5,23656,19771,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,4.01E5,323993,76977,13334,387636,135317,19072,244226,251,24.0,261,379539,65633,313906,10327,8745,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,4.94E5,302410,191336,34946,4.59E5,97380,30461,359378,290,18.0,459,4.57E5,172636,284122,14897,15564,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,145532,99028,46504,6422,139110,72618,3984,68124,96.0,1.00,132,140734,43384,97350,2583,1401,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,4.03E5,212788,190532,32799,370521,146020,26562,227803,329,18.0,282,373800,172061,201739,16533,10029,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,5.27E5,334292,192708,53632,4.73E5,156013,25772,341169,423,12.0,890,4.97E5,176293,320867,13874,11898,
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,5.82E5,375934,206271,34543,5.48E5,124049,23379,4.32E5,272,13.0,353,5.56E5,191077,364798,13610,9769,
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,36077,29611,6466,469,35608,11703,728,23577,30.0,0,31.0,35185,5965,29220,404,324,
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,279831,190424,89407,19744,260087,59019,17473,201389,276,14.0,193,260399,80108,180291,8139,9334,
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,4.37E5,222766,214700,49523,387943,97287,18168,317811,616,20.0,345,4.15E5,200473,214599,11507,6661,
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,375628,252249,123379,26222,349406,122349,30512,219497,271,10.0,246,341824,107547,234277,13542,16970,
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,4.36E5,230296,205885,31131,4.05E5,119819,25352,279432,219,14.0,191,399251,183360,215891,17836,7516,
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,280776,167263,113513,26038,254738,62922,11903,202764,332,45.0,385,265686,104248,161438,7300,4603,
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,396354,183620,212734,40962,355392,129722,27290,234329,302,12.0,361,364049,189527,174522,19923,7367,
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,4.05E5,192470,212322,33648,371144,75379,17458,309728,196,5.00,162,385107,196900,188207,13964,3494,
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,372772,242540,130232,20516,352256,128501,18342,224590,243,46.0,360,353091,120415,232676,9066,9276,
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,356945,61866,295079,67350,289595,55227,13273,285841,382,75.0,533,341068,282019,59049,10861,2412,
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,5.90E5,287496,302322,80895,5.09E5,128239,40158,4.16E5,387,35.0,296,5.45E5,270942,273791,27936,12222,
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,5.01E5,4.03E5,98677,25503,4.76E5,168754,24249,303324,311,31.0,677,4.72E5,86295,385783,10483,13766,
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,5.49E5,370797,178416,39548,5.10E5,199876,29863,315539,367,70.0,968,5.15E5,156844,358570,19427,10436,
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,4.29E5,332969,96490,22856,4.07E5,138177,23786,263938,208,21.0,366,4.02E5,85203,316911,9603,14183,
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,361203,198562,162641,39914,321289,93405,8669,257009,271,31.0,330,350414,155769,194645,5482,3187,
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,5.30E5,357544,172895,29914,5.01E5,132222,22506,372694,318,46.0,767,5.05E5,156912,348004,14405,8101,
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,5.26E5,312020,213881,38966,4.87E5,108480,21029,393447,332,82.0,684,5.02E5,201174,300753,10753,10276,
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,4.02E5,287034,115153,22687,379500,108357,24191,265642,200,16.0,300,373999,101140,272859,11545,12646,
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,360644,171210,189434,43520,317124,81937,16488,259510,169,22.0,195,341447,177384,164063,10244,6244,
H02_NC_Time_Point_365_CD4 T cells.fcs,4.86E5,309383,176285,52319,4.33E5,157032,24609,303641,221,32.0,204,4.58E5,162542,295419,11875,12735,
H03_NC_Time_Point_365_CD4 T cells.fcs,238679,110413,128266,24880,213799,75673,18366,143214,116,3.00,111,218887,115307,103580,11963,6404,
H04_NC_Time_Point_365_CD4 T cells.fcs,4.16E5,135511,280408,56468,359451,96051,27045,290357,195,10.0,213,386408,256956,129452,21551,5494,
H06_NC_Time_Point_365_CD4 T cells.fcs,4.87E5,191146,295814,62886,4.24E5,74879,23046,386544,211,29.0,229,4.61E5,277558,183864,16233,6815,
H07_NC_Time_Point_365_CD4 T cells.fcs,4.29E5,178970,250527,51831,377666,152966,17327,257928,182,22.0,203,4.11E5,236764,174130,12842,4485,
H08_NC_Time_Point_365_CD4 T cells.fcs,4.13E5,220240,192587,30334,382493,132966,18813,259647,196,4.00,204,392613,175696,216917,15868,2945,
H10_NC_Time_Point_365_CD4 T cells.fcs,5.51E5,4.19E5,132376,29862,5.21E5,135420,27590,385833,251,18.0,256,5.21E5,116447,4.05E5,14815,12775,
H11_NC_Time_Point_365_CD4 T cells.fcs,5.29E5,291471,237256,45631,4.83E5,152065,33882,340699,230,19.0,238,4.93E5,215292,277473,20559,13324,
H13_NC_Time_Point_365_CD4 T cells.fcs,6.08E5,4.13E5,194342,55486,5.52E5,139859,25330,4.41E5,273,23.0,279,5.80E5,181388,399012,11988,13342,
H14_NC_Time_Point_365_R_CD4 T cells.fcs,28507,21445,7062,1385,27122,12712,553,15156,15.0,0,14.0,27868,6652,21216,370,183,
H17_NC_Time_Point_365_CD4 T cells.fcs,5.77E5,382381,194369,30881,5.46E5,109537,39959,4.20E5,273,23.0,269,5.30E5,171674,358106,18713,21246,
H18_NC_Time_Point_365_CD4 T cells.fcs,80952,52934,28018,3611,77341,42382,3381,34763,39.0,1.00,41.0,77137,25538,51599,2189,1192,
H19_NC_Time_Point_365_CD4 T cells.fcs,263861,118938,144923,25332,238529,90698,19312,152014,124,14.0,109,242694,130595,112099,12961,6351,
H20_NC_Time_Point_365_CD4 T cells.fcs,4.93E5,294150,198434,41326,4.51E5,182329,32546,274042,218,24.0,232,4.56E5,178178,278161,17798,14748,
H21_NC_Time_Point_365_CD4 T cells.fcs,4.08E5,236197,171350,19502,388045,106355,20030,279104,187,9.00,182,385444,158863,226581,11182,8848,
H22_NC_Time_Point_365_CD4 T cells.fcs,331327,261808,69519,9952,321375,90417,13770,221369,145,10.0,152,311781,59864,254010,7154,6617,
H23_NC_Time_Point_365_CD4 T cells.fcs,335448,222187,113261,24999,310449,81524,25846,226287,148,8.00,149,307794,99795,207999,12404,13442,
H24_NC_Time_Point_365_CD4 T cells.fcs,4.11E5,200784,209931,49760,360955,85603,23720,297169,187,10.0,196,382735,194426,188309,12976,10744,
H25_NC_Time_Point_365_CD4 T cells.fcs,329389,199660,129729,24391,304998,103372,25810,197975,160,4.00,142,301329,114973,186356,13048,12763,
H26_NC_Time_Point_365_CD4 T cells.fcs,4.89E5,221246,267722,39566,4.49E5,129341,32341,313730,244,6.00,240,4.43E5,238650,204420,22707,9635,
H28_NC_Time_Point_365_CD4 T cells.fcs,289309,143930,145379,30405,258904,57641,14974,212862,141,12.0,128,270503,132714,137789,9849,5125,
H29_NC_Time_Point_365_CD4 T cells.fcs,251826,118550,133276,28203,223623,86813,19069,143072,118,11.0,101,229883,117616,112267,13839,5230,
H30_NC_Time_Point_365_CD4 T cells.fcs,4.97E5,237735,259592,45439,4.52E5,123386,21038,349723,225,13.0,238,4.73E5,242485,230624,14897,6142,
H31_NC_Time_Point_365_CD4 T cells.fcs,4.36E5,227381,208638,28655,4.07E5,156657,21957,255199,204,15.0,208,4.12E5,194755,217527,12793,9164,
H32_NC_Time_Point_365_CD4 T cells.fcs,5.04E5,56025,4.48E5,105924,398353,82393,22088,396595,249,22.0,233,4.79E5,4.26E5,52568,19013,3075,
H33_NC_Time_Point_365_CD4 T cells.fcs,4.79E5,204738,274579,56419,4.23E5,114757,36975,322317,218,10.0,226,4.37E5,244689,192384,25989,10986,
H34_NC_Time_Point_365_CD4 T cells.fcs,301130,221264,79866,16096,285034,92388,18793,185490,132,16.0,135,277878,68739,209139,8970,9823,
H35_NC_Time_Point_365_CD4 T cells.fcs,5.00E5,314816,185632,30223,4.70E5,179564,30056,286133,247,10.0,245,4.66E5,161010,304687,21501,8555,
H36_NC_Time_Point_365_CD4 T cells.fcs,6.06E5,4.37E5,169573,31800,5.75E5,165917,40313,394947,291,10.0,284,5.61E5,148630,4.12E5,18197,22117,
H38_NC_Time_Point_365_CD4 T cells.fcs,363388,207124,156264,44771,318617,78144,11085,272382,159,23.0,157,350526,148353,202173,6649,4436,
H39_NC_Time_Point_365_CD4 T cells.fcs,5.01E5,349059,152230,21459,4.80E5,129272,28748,339992,234,20.0,248,4.69E5,134315,334948,16245,12504,
H40_NC_Time_Point_365_CD4 T cells.fcs,4.91E5,283504,207684,35971,4.55E5,114160,24790,349620,211,30.0,225,4.64E5,193478,270303,12404,12387,
H41_NC_Time_Point_365_CD4 T cells.fcs,4.05E5,268969,136508,16720,388757,113154,28845,259249,182,30.0,171,372404,118309,254095,15369,13476,
H42_NC_Time_Point_365_CD4 T cells.fcs,238223,102685,135538,29874,208349,45847,10357,179901,127,21.0,98.0,225748,127981,97767,5962,4395,
H04_PC_Time_Point_365_CD4 T cells.fcs,31923,8839,23084,4511,27412,14930,3184,13446,25740,43.0,254,28376,20063,8313,2691,493,
H07_PC_Time_Point_365_CD4 T cells.fcs,35291,18977,16314,3132,32159,16057,3657,15343,31377,38.0,67.0,31400,13466,17934,2664,993,
H28_PC_Time_Point_365_CD4 T cells.fcs,154892,79699,75193,24734,130158,50373,35958,63128,115781,306,763,113501,49829,63672,21972,13986,
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,4.05E5,259564,144960,47889,356635,110529,21754,270134,406,32.0,378,378818,132411,246407,10057,11697,
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,211151,99601,111550,20973,190178,75181,15884,118826,190,5.00,165,194007,100481,93526,10212,5672,
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,4.25E5,138930,286263,59971,365222,88205,28337,305254,431,17.0,298,393459,261158,132301,22421,5916,
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,274518,106840,167678,30746,243772,47418,12862,212590,207,26.0,133,260008,157456,102552,8896,3966,
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,4.41E5,180012,261316,55669,385659,134400,18032,287158,221,24.0,383,4.22E5,246718,174840,13362,4670,
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,4.81E5,254506,226852,39885,4.41E5,112566,21750,344322,355,7.00,563,4.57E5,206941,249947,17854,3896,
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,5.80E5,4.38E5,142668,30346,5.50E5,141168,28380,4.09E5,293,19.0,407,5.50E5,126175,4.24E5,15377,13003,
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,6.25E5,343554,281866,54680,5.71E5,160491,39381,4.23E5,342,20.0,514,5.83E5,256478,326914,23669,15712,
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,5.92E5,398195,193320,58344,5.33E5,124810,23990,4.40E5,380,38.0,839,5.64E5,180600,383758,11115,12875,
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,44292,32015,12277,2206,42086,24123,977,19076,8.00,1.00,35.0,43199,11442,31757,762,215,
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,5.13E5,337211,175629,20220,4.93E5,126769,34676,347707,364,22.0,426,4.74E5,157114,317362,16408,18268,
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,66126,43912,22214,3026,63100,31031,2681,32033,33.0,0,53.0,63062,20312,42750,1661,1020,
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,385619,159036,226583,39910,345709,113517,29154,239428,299,26.0,268,352918,203407,149511,20497,8657,
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,5.47E5,320959,226434,45758,5.02E5,188348,34366,320223,278,25.0,349,5.09E5,204997,303544,18554,15812,
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,5.23E5,301738,221668,24924,4.98E5,119764,23894,376679,247,17.0,300,4.96E5,206393,290032,13356,10538,
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,5.92E5,4.71E5,121062,18204,5.73E5,162875,24754,392765,285,32.0,376,5.56E5,105800,4.50E5,11851,12903,
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,7.77E5,5.21E5,255423,61627,7.15E5,157718,55176,5.59E5,570,49.0,624,7.16E5,227891,4.88E5,24818,30358,
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,4.91E5,244592,246039,55075,4.36E5,102171,27817,354203,526,28.0,428,4.56E5,227841,228501,14406,13411,
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,319267,193731,125536,24109,295158,89336,23797,202461,449,11.0,323,291783,111436,180347,11362,12435,
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,259491,114931,144560,21930,237561,116039,13887,113694,86.0,6.00,132,229733,127853,101880,10090,3797,
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,347599,170636,176963,35065,312534,70782,18132,253624,385,18.0,362,324406,161207,163199,11969,6163,
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,377638,174948,202690,44591,333047,106462,27207,237232,447,23.0,392,343688,179173,164515,19021,8186,
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,4.34E5,208198,225367,42865,390700,98249,17402,315058,162,14.0,181,4.13E5,211373,201934,12164,5238,
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,5.52E5,285464,266131,36058,5.16E5,178107,26853,343954,383,65.0,575,5.22E5,249377,272684,15094,11759,
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,4.08E5,46544,361274,82582,325236,69653,18695,316624,535,68.0,581,386277,342842,43435,15902,2793,
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,5.48E5,234341,313360,67317,4.80E5,124100,40249,377344,275,16.0,229,5.01E5,280689,220755,28136,12113,
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,374862,272360,102502,20236,354626,109047,23784,236018,385,31.0,554,345065,88451,256614,11175,12609,
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,6.31E5,390909,239677,35054,5.96E5,214761,39140,370380,639,82.0,1042,5.85E5,207989,377151,27610,11530,
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,6.18E5,4.56E5,162009,30946,5.87E5,179670,39085,392902,308,29.0,374,5.73E5,142513,4.30E5,16803,22282,
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,5.17E5,296364,220836,56701,4.60E5,137222,14812,362478,292,46.0,327,5.00E5,210442,289258,8710,6102,
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,6.01E5,4.12E5,188497,24256,5.76E5,141407,34198,4.21E5,440,33.0,866,5.62E5,166644,395457,19653,14545,
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,5.57E5,316648,240651,35801,5.21E5,135922,26867,390056,646,69.0,876,5.26E5,223768,302210,13835,13032,
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,383117,250338,132779,16102,367015,96483,26527,254760,446,35.0,349,351243,114722,236521,14233,12294,
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,248216,103887,144329,28258,219958,57475,11139,177728,107,20.0,136,235203,136523,98680,6413,4726,
