,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H34_NC_Time_Point_0_CD4 T cells.fcs,257393,212394,44999,11895,245498,90661,15445,148787,121,10.0,123,239448,38828,202177,5781,9665,
H35_NC_Time_Point_0_CD4 T cells.fcs,5.80E5,385872,194359,41322,5.39E5,191652,29472,354801,264,18.0,292,5.46E5,169695,373569,19921,9551,
H36_NC_Time_Point_0_CD4 T cells.fcs,5.99E5,4.77E5,121640,22881,5.76E5,180064,36087,378094,294,23.0,280,5.58E5,105282,4.53E5,14002,22085,
H38_NC_Time_Point_0_CD4 T cells.fcs,4.83E5,261891,221593,56161,4.27E5,115379,16827,348321,221,20.0,219,4.64E5,207485,254557,10737,6090,
H39_NC_Time_Point_0_CD4 T cells.fcs,4.17E5,306468,110291,14445,4.02E5,160148,16995,237675,198,10.0,209,397823,100152,297671,9253,7742,
H40_NC_Time_Point_0_CD4 T cells.fcs,5.37E5,346493,190646,28205,5.09E5,125215,18551,390868,258,11.0,257,5.16E5,180684,338103,9884,8667,
H41_NC_Time_Point_0_CD4 T cells.fcs,335894,230029,105865,13327,322567,140655,23509,169815,172,9.00,159,310469,89969,218271,13479,10030,
H42_NC_Time_Point_0_CD4 T cells.fcs,345611,167039,178572,33428,312183,160869,17465,166201,170,13.0,152,327070,167049,160021,10895,6570,
H22_PC_Time_Point_0_CD4 T cells.fcs,113406,93718,19688,7542,105864,52515,13390,44951,88040,51.0,422,96805,13902,82903,4614,8776,
H24_PC_Time_Point_0_CD4 T cells.fcs,159589,108618,50971,15056,144533,101708,11249,45205,141267,2959,1024,146889,45206,101683,5230,6019,
