,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,4.15E5,20869,13630,7239,10160,3353,7054,181,214,5395,4529,9761,1757,1995,154,143,
H21_NC_Time_Point_0_CD4 T cells.fcs,290906,12776,7650,5126,4509,3052,4902,213,449,6041,3574,5574,1560,1655,217,280,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,4.16E5,17281,10407,6874,5840,4429,6494,364,461,6245,3683,5947,1574,1746,215,276,
H22_NC_Time_Point_0_CD4 T cells.fcs,5.71E5,22426,9998,12428,6065,3662,11844,516,394,7158,1927,4705,237,484,21.4,101,
H22_PC_Time_Point_0_CD4 T cells.fcs,113406,11579,3585,7994,1846,1537,,,516,10159,1909,3081,571,618,19811,5100,
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,5.66E5,21155,9080,12075,5328,3506,11125,846,484,7739,1931,4610,182,432,38.9,132,
H23_NC_Time_Point_0_CD4 T cells.fcs,4.20E5,29096,15706,13390,11112,4433,13067,299,432,5148,4261,7121,1652,1793,160,200,
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,371061,23902,12780,11122,8879,3752,10686,410,446,5148,4165,6865,1599,1746,151,196,
H24_NC_Time_Point_0_CD4 T cells.fcs,358499,15749,7911,7838,5744,2108,7654,174,383,5232,3981,6670,1980,2324,166,227,
H24_PC_Time_Point_0_CD4 T cells.fcs,159589,9995,4593,5402,1312,3253,,,706,14251,2701,3513,1491,1519,75569,23267,
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,360311,15804,8031,7773,5814,2125,7480,282,391,5029,3981,6670,1999,2328,169,225,
H25_NC_Time_Point_0_CD4 T cells.fcs,239464,18573,7838,10735,6342,1413,10476,234,345,4657,2518,5173,1512,1819,204,242,
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,334149,26089,10249,15840,8090,2039,14555,1210,371,4733,2681,5647,1546,1861,193,220,
H26_NC_Time_Point_0_CD4 T cells.fcs,5.17E5,34155,25562,8593,16137,9157,8194,378,432,6019,4051,7546,1670,2086,174,239,
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,272965,18791,14603,4188,9253,5189,3918,261,371,6187,4062,7871,1550,1918,181,224,
H28_NC_Time_Point_0_CD4 T cells.fcs,215871,8355,5533,2822,4354,1127,2750,64.0,360,5175,2383,5186,853,1108,106,133,
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,267516,10190,6666,3524,5065,1518,3311,194,383,5251,2470,5253,904,1184,117,141,
