,CD137neg_CD154pos_memory_TH | Count,CD137neg_CD154pos_memory_TFH | Count,CD137neg_CD154pos_naive_TH | Count,CD137neg_CD154pos_naive_TFH | Count,CD137neg_CD154pos_CD127neg_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127neg_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD45RAneg_Treg | Count,CD137neg_CD154pos_CD45RAneg_TFR | Count,CD137neg_CD154pos_CD45RApos_Treg | Count,CD137neg_CD154pos_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H07_NC_Time_Point_180_CD4 T cells.fcs,23.0,6.00,30.0,1.00,3.00,20.0,5.00,25.0,6.00,3.00,1.00,0,
H08_NC_Time_Point_180_CD4 T cells.fcs,10.0,3.00,13.0,0,1.00,9.00,0,13.0,3.00,0,0,0,
H10_NC_Time_Point_180_CD4 T cells.fcs,10.0,4.00,37.0,3.00,1.00,9.00,5.00,32.0,3.00,0,2.00,0,
H11_NC_Time_Point_180_CD4 T cells.fcs,13.0,4.00,17.0,2.00,2.00,11.0,0,17.0,6.00,0,2.00,0,
H13_NC_Time_Point_180_CD4 T cells.fcs,11.0,6.00,26.0,3.00,0,11.0,4.00,22.0,2.00,1.00,0,0,
H14_NC_Time_Point_180_CD4 T cells.fcs,6.00,1.00,22.0,0,0,6.00,3.00,19.0,0,0,2.00,0,
H17_NC_Time_Point_180_CD4 T cells.fcs,20.0,4.00,22.0,0,0,20.0,2.00,20.0,2.00,2.00,0,0,
H18_NC_Time_Point_180_CD4 T cells.fcs,1.00,0,1.00,0,1.00,0,0,1.00,0,0,0,0,
H19_NC_Time_Point_180_CD4 T cells.fcs,13.0,0,11.0,0,1.00,12.0,4.00,7.00,7.00,0,0,0,
H20_NC_Time_Point_180_CD4 T cells.fcs,15.0,6.00,53.0,1.00,1.00,14.0,13.0,40.0,1.00,0,1.00,0,
H21_NC_Time_Point_180_CD4 T cells.fcs,14.0,4.00,42.0,2.00,1.00,13.0,7.00,35.0,4.00,1.00,0,1.00,
H22_NC_Time_Point_180_CD4 T cells.fcs,0,0,10.0,0,0,0,4.00,7.00,2.00,0,0,0,
H23_NC_Time_Point_180_CD4 T cells.fcs,14.0,6.00,7.00,1.00,1.00,13.0,0,7.00,6.00,1.00,3.00,0,
H24_NC_Time_Point_180_CD4 T cells.fcs,9.00,5.00,8.00,0,0,9.00,3.00,5.00,3.00,0,0,0,
H25_NC_Time_Point_180_CD4 T cells.fcs,17.0,3.00,6.00,0,0,17.0,1.00,5.00,6.00,2.00,0,0,
H26_NC_Time_Point_180_CD4 T cells.fcs,107,16.0,17.0,1.00,6.00,101,4.00,13.0,39.0,1.00,1.00,3.00,
H28_NC_Time_Point_180_CD4 T cells.fcs,14.0,3.00,28.0,0,2.00,12.0,4.00,24.0,9.00,2.00,2.00,0,
H29_NC_Time_Point_180_CD4 T cells.fcs,8.00,0,7.00,0,0,8.00,2.00,5.00,0,1.00,0,1.00,
H30_NC_Time_Point_180_CD4 T cells.fcs,11.0,2.00,16.0,0,1.00,10.0,2.00,14.0,1.00,0,1.00,0,
H31_NC_Time_Point_180_CD4 T cells.fcs,26.0,9.00,28.0,2.00,1.00,25.0,3.00,25.0,9.00,2.00,4.00,0,
H32_NC_Time_Point_180_CD4 T cells.fcs,43.0,21.0,9.00,1.00,1.00,42.0,1.00,8.00,9.00,5.00,0,0,
H33_NC_Time_Point_180_CD4 T cells.fcs,107,62.0,62.0,4.00,5.00,102,11.0,51.0,39.0,16.0,5.00,1.00,
H34_NC_Time_Point_180_CD4 T cells.fcs,18.0,4.00,38.0,0,2.00,16.0,9.00,29.0,7.00,0,6.00,1.00,
H35_NC_Time_Point_180_CD4 T cells.fcs,9.00,2.00,31.0,1.00,1.00,8.00,8.00,23.0,6.00,0,3.00,0,
H36_NC_Time_Point_180_CD4 T cells.fcs,8.00,1.00,19.0,0,2.00,6.00,7.00,12.0,2.00,1.00,2.00,0,
H38_NC_Time_Point_180_CD4 T cells.fcs,13.0,4.00,11.0,1.00,3.00,10.0,3.00,8.00,6.00,0,1.00,0,
H39_NC_Time_Point_180_CD4 T cells.fcs,5.00,0,36.0,1.00,1.00,4.00,10.0,26.0,2.00,0,5.00,0,
H40_NC_Time_Point_180_CD4 T cells.fcs,29.0,4.00,12.0,2.00,0,29.0,2.00,10.0,2.00,1.00,2.00,0,
H41_NC_Time_Point_180_CD4 T cells.fcs,4.00,2.00,17.0,1.00,1.00,3.00,1.00,16.0,3.00,1.00,2.00,0,
H42_NC_Time_Point_180_CD4 T cells.fcs,25.0,4.00,14.0,1.00,2.00,23.0,3.00,11.0,15.0,0,2.00,0,
H02_PC_Time_Point_180_CD4 T cells.fcs,34345,20676,144356,4971,17573,16846,91131,53779,9097,7327,18773,2330,
H30_PC_Time_Point_180_CD4 T cells.fcs,59872,12920,78041,1604,18374,41498,26880,51161,4670,1488,3050,284,
H34_PC_Time_Point_180_CD4 T cells.fcs,8364,1579,82238,1923,5152,3212,55212,27026,1593,115,2239,169,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,90.0,14.0,68.0,2.00,23.0,67.0,21.0,47.0,87.0,14.0,17.0,1.00,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,78.0,20.0,109,4.00,18.0,60.0,31.0,78.0,5.00,1.00,3.00,1.00,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,38.0,12.0,19.0,2.00,1.00,37.0,2.00,17.0,0,0,2.00,0,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,57.0,18.0,49.0,6.00,4.00,53.0,7.00,42.0,7.00,3.00,3.00,0,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,40.0,12.0,74.0,5.00,3.00,37.0,8.00,66.0,13.0,6.00,5.00,1.00,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,94.0,15.0,55.0,5.00,6.00,88.0,7.00,48.0,20.0,4.00,9.00,0,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,88.0,17.0,204,4.00,24.0,64.0,48.0,156,19.0,7.00,9.00,0,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,79.0,17.0,109,10.0,12.0,67.0,13.0,96.0,22.0,3.00,8.00,2.00,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,146,36.0,239,17.0,20.0,126,21.0,218,31.0,7.00,16.0,0,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,39.0,9.00,146,6.00,4.00,35.0,27.0,119,4.00,0,36.0,0,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,95.0,24.0,77.0,10.0,4.00,91.0,9.00,68.0,12.0,5.00,9.00,2.00,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,15.0,6.00,61.0,4.00,2.00,13.0,17.0,44.0,3.00,1.00,2.00,0,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,76.0,32.0,90.0,6.00,15.0,61.0,26.0,64.0,48.0,12.0,11.0,3.00,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,102,28.0,177,15.0,6.00,96.0,40.0,137,29.0,2.00,7.00,3.00,
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,52.0,15.0,152,7.00,3.00,49.0,22.0,130,3.00,3.00,13.0,0,
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,2.00,0,18.0,0,0,2.00,3.00,15.0,1.00,0,3.00,0,
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,92.0,30.0,33.0,0,11.0,81.0,3.00,30.0,38.0,4.00,4.00,2.00,
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,259,109,93.0,9.00,17.0,242,15.0,78.0,19.0,4.00,5.00,3.00,
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,93.0,8.00,44.0,2.00,0,93.0,16.0,28.0,30.0,10.0,7.00,0,
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,91.0,12.0,18.0,4.00,5.00,86.0,2.00,16.0,34.0,3.00,3.00,1.00,
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,136,19.0,61.0,4.00,24.0,112,9.00,52.0,59.0,10.0,13.0,0,
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,129,40.0,84.0,9.00,19.0,110,16.0,68.0,11.0,4.00,5.00,3.00,
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,69.0,13.0,97.0,3.00,7.00,62.0,14.0,83.0,5.00,1.00,3.00,0,
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,66.0,12.0,77.0,5.00,9.00,57.0,18.0,59.0,44.0,7.00,11.0,3.00,
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,230,48.0,13.0,0,18.0,212,0,13.0,26.0,5.00,1.00,1.00,
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,120,46.0,56.0,12.0,10.0,110,6.00,50.0,40.0,20.0,10.0,5.00,
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,47.0,12.0,130,12.0,6.00,41.0,42.0,88.0,26.0,1.00,33.0,7.00,
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,69.0,14.0,165,6.00,30.0,39.0,43.0,122,54.0,6.00,23.0,3.00,
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,24.0,9.00,144,4.00,4.00,20.0,34.0,110,7.00,3.00,3.00,1.00,
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,82.0,26.0,66.0,4.00,3.00,79.0,16.0,50.0,27.0,3.00,4.00,1.00,
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,80.0,13.0,159,10.0,25.0,55.0,39.0,120,17.0,4.00,10.0,5.00,
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,122,17.0,70.0,5.00,11.0,111,16.0,54.0,41.0,2.00,11.0,1.00,
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,37.0,4.00,85.0,5.00,5.00,32.0,19.0,66.0,10.0,3.00,13.0,1.00,
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,57.0,12.0,32.0,1.00,15.0,42.0,1.00,31.0,20.0,9.00,3.00,2.00,
H02_NC_Time_Point_365_CD4 T cells.fcs,56.0,22.0,48.0,3.00,14.0,42.0,19.0,29.0,51.0,9.00,7.00,2.00,
H03_NC_Time_Point_365_CD4 T cells.fcs,36.0,9.00,11.0,0,2.00,34.0,3.00,8.00,23.0,6.00,1.00,0,
H04_NC_Time_Point_365_CD4 T cells.fcs,25.0,7.00,8.00,1.00,2.00,23.0,4.00,4.00,10.0,2.00,2.00,0,
H06_NC_Time_Point_365_CD4 T cells.fcs,68.0,18.0,17.0,2.00,2.00,66.0,3.00,14.0,17.0,11.0,1.00,0,
H07_NC_Time_Point_365_CD4 T cells.fcs,25.0,5.00,11.0,1.00,5.00,20.0,1.00,10.0,7.00,0,0,0,
H08_NC_Time_Point_365_CD4 T cells.fcs,4.00,0,32.0,0,0,4.00,13.0,19.0,6.00,0,0,0,
H10_NC_Time_Point_365_CD4 T cells.fcs,12.0,4.00,40.0,2.00,2.00,10.0,1.00,39.0,5.00,1.00,0,2.00,
H11_NC_Time_Point_365_CD4 T cells.fcs,18.0,5.00,30.0,2.00,2.00,16.0,1.00,29.0,11.0,3.00,0,0,
H13_NC_Time_Point_365_CD4 T cells.fcs,6.00,12.0,26.0,4.00,2.00,4.00,5.00,21.0,4.00,1.00,0,0,
H14_NC_Time_Point_365_R_CD4 T cells.fcs,2.00,0,7.00,0,0,2.00,3.00,4.00,0,0,0,0,
H17_NC_Time_Point_365_CD4 T cells.fcs,27.0,6.00,28.0,1.00,1.00,26.0,7.00,21.0,5.00,0,0,0,
H18_NC_Time_Point_365_CD4 T cells.fcs,1.00,0,1.00,0,0,1.00,0,1.00,0,0,0,0,
H19_NC_Time_Point_365_CD4 T cells.fcs,2.00,2.00,9.00,0,0,2.00,3.00,6.00,13.0,1.00,2.00,1.00,
H20_NC_Time_Point_365_CD4 T cells.fcs,7.00,4.00,19.0,2.00,1.00,6.00,4.00,15.0,4.00,1.00,1.00,0,
H21_NC_Time_Point_365_CD4 T cells.fcs,23.0,2.00,19.0,1.00,2.00,21.0,3.00,16.0,2.00,0,3.00,0,
H22_NC_Time_Point_365_CD4 T cells.fcs,8.00,3.00,55.0,0,0,8.00,3.00,52.0,3.00,0,2.00,0,
H23_NC_Time_Point_365_CD4 T cells.fcs,17.0,5.00,11.0,1.00,1.00,16.0,0,11.0,0,0,0,0,
H24_NC_Time_Point_365_CD4 T cells.fcs,13.0,6.00,6.00,0,0,13.0,1.00,5.00,4.00,0,0,1.00,
H25_NC_Time_Point_365_CD4 T cells.fcs,3.00,2.00,7.00,1.00,0,3.00,2.00,5.00,1.00,0,2.00,1.00,
H26_NC_Time_Point_365_CD4 T cells.fcs,275,31.0,30.0,4.00,10.0,265,5.00,25.0,78.0,13.0,1.00,1.00,
H28_NC_Time_Point_365_CD4 T cells.fcs,27.0,7.00,16.0,2.00,1.00,26.0,1.00,15.0,15.0,7.00,1.00,0,
H29_NC_Time_Point_365_CD4 T cells.fcs,6.00,2.00,7.00,0,0,6.00,4.00,3.00,1.00,0,0,0,
H30_NC_Time_Point_365_CD4 T cells.fcs,50.0,6.00,55.0,2.00,5.00,45.0,12.0,43.0,3.00,2.00,2.00,0,
H31_NC_Time_Point_365_CD4 T cells.fcs,17.0,6.00,23.0,1.00,4.00,13.0,4.00,19.0,4.00,2.00,0,0,
H32_NC_Time_Point_365_CD4 T cells.fcs,138,49.0,5.00,3.00,7.00,131,0,5.00,27.0,5.00,1.00,0,
H33_NC_Time_Point_365_CD4 T cells.fcs,72.0,23.0,46.0,4.00,1.00,71.0,6.00,40.0,32.0,6.00,7.00,1.00,
H34_NC_Time_Point_365_CD4 T cells.fcs,11.0,0,21.0,3.00,1.00,10.0,9.00,12.0,8.00,1.00,2.00,2.00,
H35_NC_Time_Point_365_CD4 T cells.fcs,8.00,3.00,28.0,1.00,2.00,6.00,5.00,23.0,10.0,0,5.00,0,
H36_NC_Time_Point_365_CD4 T cells.fcs,10.0,5.00,21.0,0,0,10.0,6.00,15.0,0,2.00,2.00,0,
H38_NC_Time_Point_365_CD4 T cells.fcs,22.0,10.0,19.0,0,2.00,20.0,5.00,14.0,4.00,0,0,0,
H39_NC_Time_Point_365_CD4 T cells.fcs,23.0,4.00,27.0,2.00,3.00,20.0,0,27.0,10.0,1.00,6.00,0,
H40_NC_Time_Point_365_CD4 T cells.fcs,67.0,11.0,10.0,2.00,7.00,60.0,1.00,9.00,30.0,4.00,1.00,0,
H41_NC_Time_Point_365_CD4 T cells.fcs,13.0,2.00,33.0,1.00,0,13.0,3.00,30.0,14.0,0,3.00,0,
H42_NC_Time_Point_365_CD4 T cells.fcs,47.0,7.00,15.0,1.00,1.00,46.0,3.00,12.0,8.00,2.00,0,1.00,
H04_PC_Time_Point_365_CD4 T cells.fcs,12856,3461,7095,297,6091,6765,3679,3416,1173,237,262,50.0,
H07_PC_Time_Point_365_CD4 T cells.fcs,9705,2243,16126,297,4972,4733,7806,8320,1830,246,655,65.0,
H28_PC_Time_Point_365_CD4 T cells.fcs,24573,9090,48582,2349,8818,15755,18552,30030,10904,4817,9668,1371,
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,76.0,31.0,53.0,7.00,8.00,68.0,14.0,39.0,78.0,18.0,12.0,0,
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,91.0,8.00,15.0,3.00,9.00,82.0,6.00,9.00,35.0,5.00,3.00,1.00,
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,188,39.0,35.0,3.00,13.0,175,5.00,30.0,34.0,7.00,1.00,1.00,
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,70.0,15.0,9.00,2.00,2.00,68.0,1.00,8.00,23.0,5.00,0,0,
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,61.0,25.0,71.0,5.00,8.00,53.0,17.0,54.0,17.0,7.00,10.0,1.00,
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,99.0,21.0,167,7.00,12.0,87.0,53.0,114,9.00,0,13.0,1.00,
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,53.0,19.0,171,8.00,8.00,45.0,32.0,139,16.0,7.00,5.00,3.00,
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,91.0,22.0,139,11.0,9.00,82.0,20.0,119,26.0,5.00,11.0,2.00,
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,91.0,43.0,149,17.0,9.00,82.0,16.0,133,18.0,7.00,11.0,1.00,
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,0,0,8.00,0,0,0,3.00,5.00,0,0,0,0,
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,144,27.0,94.0,7.00,5.00,139,12.0,82.0,37.0,6.00,8.00,2.00,
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,3.00,1.00,20.0,0,1.00,2.00,6.00,14.0,2.00,0,3.00,0,
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,80.0,27.0,55.0,4.00,6.00,74.0,8.00,47.0,34.0,8.00,6.00,2.00,
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,68.0,9.00,142,10.0,9.00,59.0,30.0,112,10.0,0,3.00,2.00,
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,70.0,6.00,115,5.00,6.00,64.0,20.0,95.0,10.0,1.00,13.0,1.00,
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,53.0,14.0,89.0,2.00,5.00,48.0,15.0,74.0,20.0,2.00,13.0,1.00,
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,176,48.0,153,16.0,15.0,161,19.0,134,38.0,12.0,16.0,3.00,
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,215,64.0,49.0,14.0,5.00,210,9.00,40.0,16.0,10.0,9.00,2.00,
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,184,14.0,81.0,2.00,7.00,177,26.0,55.0,20.0,7.00,10.0,4.00,
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,26.0,7.00,5.00,0,1.00,25.0,2.00,3.00,17.0,0,0,0,
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,122,18.0,31.0,8.00,12.0,110,6.00,25.0,96.0,19.0,7.00,2.00,
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,166,63.0,86.0,19.0,5.00,161,16.0,70.0,16.0,9.00,7.00,3.00,
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,44.0,11.0,64.0,5.00,7.00,37.0,10.0,54.0,7.00,1.00,3.00,0,
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,149,17.0,95.0,6.00,12.0,137,23.0,72.0,49.0,11.0,21.0,0,
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,280,69.0,8.00,2.00,33.0,247,1.00,7.00,90.0,18.0,2.00,1.00,
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,85.0,18.0,38.0,7.00,3.00,82.0,11.0,27.0,32.0,14.0,11.0,2.00,
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,95.0,6.00,74.0,8.00,3.00,92.0,19.0,55.0,39.0,2.00,27.0,4.00,
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,106,12.0,158,10.0,16.0,90.0,33.0,125,114,14.0,60.0,3.00,
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,44.0,11.0,180,6.00,7.00,37.0,43.0,137,16.0,3.00,18.0,2.00,
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,97.0,24.0,56.0,10.0,11.0,86.0,10.0,46.0,27.0,2.00,7.00,2.00,
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,110,15.0,137,11.0,21.0,89.0,34.0,103,59.0,7.00,31.0,1.00,
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,211,18.0,41.0,4.00,23.0,188,15.0,26.0,148,17.0,24.0,2.00,
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,103,4.00,74.0,4.00,3.00,100,13.0,61.0,44.0,4.00,15.0,0,
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,30.0,5.00,11.0,4.00,2.00,28.0,2.00,9.00,12.0,0,2.00,1.00,
Mean,,,,,,,,,,,,,
SD,,,,,,,,,,,,,
