,CD4 | Median (Comp-BV786-A),TH | Median (Comp-BV786-A),naive_TH | Median (Comp-BV786-A),memory_TH | Median (Comp-BV786-A),TFH | Median (Comp-BV786-A),naive_TFH | Median (Comp-BV786-A),memory_TFH | Median (Comp-BV786-A),Treg | Median (Comp-BV786-A),CD45RApos_Treg | Median (Comp-BV786-A),CD45RAneg_Treg | Median (Comp-BV786-A),TFR | Median (Comp-BV786-A),CD45RApos_TFR | Median (Comp-BV786-A),CD45RAneg_TFR | Median (Comp-BV786-A)
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,4094,4241,4051,4896,4649,4584,4682,1808,1910,1727,2119,2139,2107
H14_NC_Time_Point_180_CD4 T cells.fcs,3221,3278,3176,4354,4278,4123,4448,1929,1906,1948,2103,2099,2111
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,3198,3260,3148,4471,4370,4108,4616,1853,1805,1899,1948,1980,1906
H17_NC_Time_Point_180_CD4 T cells.fcs,3981,4181,4072,4448,4072,4233,4016,1876,1952,1801,2135,2234,1853
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,3817,3981,3843,4347,4016,4108,3981,1812,1868,1742,2090,2180,1918
H18_NC_Time_Point_180_CD4 T cells.fcs,2524,2542,2469,2872,3176,2918,3272,1447,1634,1370,2054,1902,2333
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,2689,2713,2556,3383,3394,3115,3491,1519,1673,1461,1980,1972,1991
H19_NC_Time_Point_180_CD4 T cells.fcs,3115,3243,2954,3797,3711,3559,3757,1505,1634,1434,1925,1925,1925
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,3187,3312,2991,3898,3830,3628,3891,1546,1677,1474,2011,1968,2066
H20_NC_Time_Point_180_CD4 T cells.fcs,3534,3609,3260,4800,4339,3925,4487,1688,1727,1655,1976,1941,2046
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,3724,3790,3430,4931,4608,4094,4792,1753,1816,1698,2115,2066,2234
H21_NC_Time_Point_180_CD4 T cells.fcs,3870,3981,3724,4649,4416,4487,4393,1695,1746,1652,1956,1918,2019
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,4440,4559,4339,5083,4966,5175,4904,1742,1838,1680,2119,2139,2070
H22_NC_Time_Point_180_CD4 T cells.fcs,1297,1324,1271,1910,1724,1891,1634,279,311,242,262,363,48.4
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,1995,2031,1976,2425,2631,2542,2631,597,621,568,813,1014,411
H23_NC_Time_Point_180_CD4 T cells.fcs,4203,4377,4211,4931,4691,4211,4818,1786,1876,1688,2086,2090,2066
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,4196,4370,4189,5038,4800,4316,4940,1738,1846,1623,2078,2058,2135
H24_NC_Time_Point_180_CD4 T cells.fcs,3777,3797,3388,4616,4741,4174,4957,1976,2039,1945,2243,2243,2256
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,4152,4159,3666,5102,5204,4424,5484,2042,2099,2007,2367,2350,2425
H25_NC_Time_Point_180_CD4 T cells.fcs,3018,3170,2944,4030,3528,3685,3479,1543,1505,1592,1749,1738,1753
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,3221,3377,3126,4393,3750,3891,3711,1585,1560,1623,1883,1902,1864
H26_NC_Time_Point_180_CD4 T cells.fcs,3870,4123,3552,5213,4226,3857,4385,1581,1706,1536,1933,1933,1902
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,4101,4362,3744,5464,4401,4108,4519,1655,1753,1613,2031,2031,2031
H28_NC_Time_Point_180_CD4 T cells.fcs,2892,3023,2867,3359,3044,3221,3002,856,883,840,1018,1064,962
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,3170,3289,3159,3584,3306,3412,3278,810,880,766,1027,1033,1005
H29_NC_Time_Point_180_CD4 T cells.fcs,2460,2612,2156,3347,2934,2970,2923,886,856,892,1018,1042,916
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,2580,2727,2189,3602,3153,3148,3153,868,807,889,1102,1159,965
H30_NC_Time_Point_180_CD4 T cells.fcs,4324,4448,4233,4699,4800,5029,4749,1444,1539,1420,1670,1746,1616
H30_PC_Time_Point_180_CD4 T cells.fcs,3077,3283,3221,3359,2975,3159,2949,1623,1609,1631,1793,1779,1797
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,4377,4503,4286,4766,4818,5047,4766,1444,1557,1417,1735,1805,1663
H31_NC_Time_Point_180_CD4 T cells.fcs,3571,3653,3312,4741,4424,4051,4575,1641,1727,1550,1880,1922,1846
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,3365,3442,3153,4448,4263,3837,4432,1457,1536,1377,1709,1724,1673
H32_NC_Time_Point_180_CD4 T cells.fcs,4641,4869,3647,5260,4408,4159,4424,1742,1808,1727,1827,2003,1735
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,5047,5298,3898,5760,4818,4674,4835,1638,1688,1623,1827,1941,1738
H33_NC_Time_Point_180_CD4 T cells.fcs,3718,3911,3400,4913,4037,3843,4087,1609,1670,1581,1760,1779,1749
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,3995,4211,3660,5298,4308,4196,4339,1578,1648,1546,1790,1779,1793
H34_NC_Time_Point_180_CD4 T cells.fcs,3099,3148,3039,4065,3448,3436,3466,1964,1968,1960,2197,2226,1956
H34_PC_Time_Point_180_CD4 T cells.fcs,1987,2031,2027,2050,2201,2281,2099,1320,1314,1330,1373,1393,1337
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,3165,3221,3093,4324,3634,3584,3711,1887,1906,1864,2201,2226,2019
H35_NC_Time_Point_180_CD4 T cells.fcs,2777,2831,2713,3272,3088,3066,3099,1757,1713,1779,1883,1925,1812
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,3023,3093,2965,3571,3497,3503,3497,1634,1655,1627,1779,1816,1742
H36_NC_Time_Point_180_CD4 T cells.fcs,2954,3023,2913,3843,3540,3509,3552,1638,1623,1659,1948,2031,1816
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,3192,3278,3142,4211,3764,3777,3750,1645,1631,1666,1956,2015,1749
H38_NC_Time_Point_180_CD4 T cells.fcs,3571,3596,3383,4080,3967,4009,3960,1609,1567,1641,1768,1801,1727
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,3823,3850,3647,4218,4167,4248,4152,1578,1585,1567,1895,1960,1853
H39_NC_Time_Point_180_CD4 T cells.fcs,3187,3243,3104,3718,3843,3777,3898,1797,1805,1797,2074,2160,1902
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,3672,3737,3584,4278,4377,4263,4455,1933,1999,1899,2189,2209,2090
H40_NC_Time_Point_180_CD4 T cells.fcs,4362,4440,3905,5823,5204,4957,5279,1706,1680,1735,1834,2011,1663
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,4203,4278,3757,5645,5083,4878,5148,1536,1536,1536,1816,1775,1849
H41_NC_Time_Point_180_CD4 T cells.fcs,3142,3255,2970,4843,3925,3891,3939,1574,1519,1638,1768,1864,1623
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,3705,3850,3534,5564,4463,4479,4448,1645,1592,1717,1991,2015,1925
H42_NC_Time_Point_180_CD4 T cells.fcs,3939,4058,3660,4691,4044,4108,4030,1964,1941,1980,2205,2324,2099
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,3857,3960,3590,4543,4044,4137,4023,1872,1831,1899,2135,2243,2003
H02_NC_Time_Point_365_CD4 T cells.fcs,3336,3359,3192,3911,4448,3905,4575,1536,1592,1478,1808,1760,1952
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,3718,3596,3596,3757,4749,4749,4931,3596,3596,1592,4749,4749,1952
H03_NC_Time_Point_365_CD4 T cells.fcs,3215,3353,2742,4293,3711,3232,3823,1753,1673,1801,1842,1793,1891
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,3023,3142,2617,3932,3590,3066,3718,1620,1550,1663,1834,1775,1918
H04_NC_Time_Point_365_CD4 T cells.fcs,3602,3810,2960,4495,3823,3621,3884,1370,1454,1353,1599,1655,1543
H04_PC_Time_Point_365_CD4 T cells.fcs,2143,2324,2201,2394,2082,2420,2054,1245,1146,1258,1343,1239,1343
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,3911,4159,3306,4818,4108,3898,4152,1377,1464,1357,1620,1638,1606
H06_NC_Time_Point_365_CD4 T cells.fcs,4362,4519,3764,5289,4519,4271,4575,1771,1812,1749,2015,2027,1999
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,4286,4408,3647,5157,4616,4301,4699,1688,1749,1659,2011,1956,2070
H07_NC_Time_Point_365_CD4 T cells.fcs,2965,3034,2747,3371,3153,3148,3159,1481,1515,1464,1645,1677,1595
H07_PC_Time_Point_365_CD4 T cells.fcs,2359,2488,2524,2425,2515,2425,2524,1488,1417,1536,1560,1529,1564
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,3283,3371,3071,3705,3460,3534,3448,1512,1588,1488,1742,1786,1702
H08_NC_Time_Point_365_CD4 T cells.fcs,3115,3204,2944,3770,3365,3454,3336,1444,1623,1413,1673,1880,1557
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,3830,3967,3692,4519,4044,4424,3939,1512,1713,1461,1853,1995,1731
H10_NC_Time_Point_365_CD4 T cells.fcs,3479,3584,3534,3870,3918,3953,3898,1655,1663,1645,1779,1816,1709
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,3565,3672,3628,3939,4101,4072,4123,1588,1620,1557,1757,1834,1695
H11_NC_Time_Point_365_CD4 T cells.fcs,3165,3283,3104,3679,3430,3485,3418,1634,1670,1609,1805,1805,1801
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,3383,3515,3318,3932,3679,3628,3698,1623,1684,1578,1872,1929,1779
H13_NC_Time_Point_365_CD4 T cells.fcs,3660,3718,3559,4377,4324,4159,4416,1695,1764,1623,1880,1891,1861
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,3939,3995,3777,4852,4741,4503,4878,1663,1746,1571,2058,2058,2062
H14_NC_Time_Point_365_R_CD4 T cells.fcs,2816,2821,2791,3018,3353,3371,3353,1782,1876,1720,2135,2139,1727
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,2497,2501,2492,2538,2934,2887,2965,1757,1768,1757,2090,2302,1738
H17_NC_Time_Point_365_CD4 T cells.fcs,3877,4080,3953,4479,4370,4495,4316,1724,1797,1648,1941,1991,1827
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,3383,3552,3412,4009,4072,3857,4167,1484,1529,1430,1775,1805,1706
H18_NC_Time_Point_365_CD4 T cells.fcs,2547,2598,2420,3187,3120,2857,3215,1495,1652,1410,1652,1670,1595
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,2777,2826,2645,3436,3515,3221,3640,1519,1659,1461,2007,1945,2011
H19_NC_Time_Point_365_CD4 T cells.fcs,3243,3388,2862,4189,3932,3584,4009,1581,1677,1529,1910,1933,1876
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,3571,3764,3137,4511,4123,3810,4181,1663,1760,1620,2003,1999,2003
H20_NC_Time_Point_365_CD4 T cells.fcs,3148,3243,2781,4641,4065,3596,4248,1738,1706,1779,2015,1929,2103
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,3359,3460,2923,4887,4584,3988,4826,1677,1655,1695,2031,1937,2147
H21_NC_Time_Point_365_CD4 T cells.fcs,3939,4080,3609,4984,4440,4377,4471,1731,1731,1731,1976,1937,2027
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,4278,4416,3932,5298,4741,4809,4716,1738,1768,1713,1995,1968,2066
H22_NC_Time_Point_365_CD4 T cells.fcs,2742,2852,2718,3884,3503,3596,3473,971,993,950,1055,1370,910
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,2762,2877,2747,3870,3571,3777,3479,938,953,913,1184,1275,1111
H23_NC_Time_Point_365_CD4 T cells.fcs,3797,3995,3718,5020,4440,4087,4535,1727,1782,1663,1976,1948,2027
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,4278,4487,4211,5464,4913,4616,5029,1670,1753,1564,1941,1914,2035
H24_NC_Time_Point_365_CD4 T cells.fcs,4130,4181,3571,5194,5222,4535,5523,2135,2164,2111,2385,2380,2389
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,4218,4278,3609,5405,5395,4592,5781,2090,2111,2070,2425,2402,2479
H25_NC_Time_Point_365_CD4 T cells.fcs,3295,3460,3099,4657,3837,3918,3810,1659,1631,1691,1906,1925,1887
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,3540,3698,3278,5129,4189,4189,4181,1702,1695,1713,1983,2027,1948
H26_NC_Time_Point_365_CD4 T cells.fcs,4116,4416,3515,5707,4324,3823,4503,1691,1779,1655,2019,2003,2039
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,2857,3088,2277,4218,2918,2506,3044,1236,1370,1197,1543,1505,1588
H28_NC_Time_Point_365_CD4 T cells.fcs,3278,3388,3044,3918,3757,3679,3777,1033,1070,1014,1288,1271,1304
H28_PC_Time_Point_365_CD4 T cells.fcs,1738,2143,2164,2111,1720,2039,1641,1049,1014,1070,959,941,968
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,3301,3412,3023,3995,3757,3698,3770,944,974,931,1275,1171,1343
H29_NC_Time_Point_365_CD4 T cells.fcs,2425,2580,2160,3266,2997,3023,2986,898,868,910,984,1027,862
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,2852,2997,2434,3960,3546,3509,3559,993,962,1005,1213,1203,1229
H30_NC_Time_Point_365_CD4 T cells.fcs,3750,3837,3371,4584,4203,4087,4233,1567,1560,1571,1823,1861,1790
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,3925,4016,3491,4861,4301,4196,4339,1620,1631,1613,1857,1861,1849
H31_NC_Time_Point_365_CD4 T cells.fcs,3071,3148,2636,4218,3770,3283,3939,1515,1543,1498,1709,1724,1709
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,3278,3347,2786,4567,4051,3521,4226,1481,1526,1450,1819,1834,1812
H32_NC_Time_Point_365_CD4 T cells.fcs,4657,4957,3497,5222,4385,3939,4408,1731,1709,1735,1842,1918,1812
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,4641,4922,3388,5204,4424,3974,4448,1574,1557,1578,1757,1749,1757
H33_NC_Time_Point_365_CD4 T cells.fcs,3718,3939,3192,5129,4080,3803,4159,1648,1684,1634,1914,1937,1906
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,3857,4087,3272,5405,4167,3843,4271,1655,1691,1638,1891,1899,1883
H34_NC_Time_Point_365_CD4 T cells.fcs,3266,3347,3126,4559,3672,3628,3750,2035,2023,2050,2234,2247,2078
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,3365,3448,3198,4869,3864,3803,3953,1976,1991,1948,2230,2234,2201
H35_NC_Time_Point_365_CD4 T cells.fcs,3018,3088,2949,3497,3394,3503,3359,1831,1819,1834,2042,2107,1995
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,3104,3192,3012,3705,3584,3653,3559,1717,1727,1709,2046,2054,2027
H36_NC_Time_Point_365_CD4 T cells.fcs,3418,3540,3353,4440,4016,4051,3995,1760,1724,1808,1999,2107,1823
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,3347,3466,3283,4408,4023,3981,4051,1673,1652,1702,1899,1922,1857
H38_NC_Time_Point_365_CD4 T cells.fcs,4080,4130,3817,4843,4440,4211,4479,1720,1655,1764,1910,1831,2003
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,3737,3757,3460,4408,4233,4072,4271,1536,1505,1560,1864,1801,1960
H39_NC_Time_Point_365_CD4 T cells.fcs,3515,3615,3430,4347,4271,4108,4385,1980,1980,1976,2285,2294,2277
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,3685,3790,3565,4641,4600,4416,4741,1976,1991,1968,2337,2359,2277
H40_NC_Time_Point_365_CD4 T cells.fcs,3857,3946,3424,5056,4699,4308,4809,1581,1550,1627,1853,1864,1846
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,3757,3830,3312,4887,4584,4167,4691,1698,1645,1749,2119,2054,2160
H41_NC_Time_Point_365_CD4 T cells.fcs,3571,3757,3249,5845,4241,4218,4248,1655,1613,1691,1883,1941,1764
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,3803,3995,3424,6303,4535,4408,4592,1673,1634,1706,1980,2074,1808
H42_NC_Time_Point_365_CD4 T cells.fcs,4174,4293,3764,5138,4278,4189,4293,2119,2095,2139,2346,2398,2285
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,3857,3960,3436,4674,4023,3905,4044,1976,1948,1995,2256,2277,2209
Mean,,,,,,,,,,,,,
SD,,,,,,,,,,,,,
